County/ Sub-County,Conventional Households,Mode of Human Waste Disposal (%) Main Sewer, Septic tank,Pool Cess,VIP Latrine,Pit latrine covered,Pit latrine uncovered,Bucket,Open/Bush,Bio-septic tank/Biodigester,Not Stated
MANDERA,123954,1.2,2,0.3,2.8,28.3,23.4,2.4,39.4,0.1,0
MANDERA WEST,14201,1.4,3.3,1,2.5,24.1,23.3,2.2,42.2,0,0
BANISA,24000,0.6,1.7,0.2,1.9,18.4,13.7,2.3,61.2,0.1,0
KOTULO,9342,0.2,0.7,0.1,3.8,28.5,22.1,2.8,41.6,0.1,-
LAFEY,11380,1,2.6,0.5,1.7,20.9,33.7,3.9,35.5,0.1,-
MANDERA CENTRAL,20795,1.1,1.9,0.1,3.5,38.3,22.1,2.2,30.7,0,0.1
MANDERA EAST,25206,2.8,3.1,0.3,4.3,38.5,31.2,2.2,17.5,0.1,-
MANDERA NORTH,19030,0.6,0.4,0.1,1.7,24.1,21.5,2,49.7,0.1,-
MARSABIT,76689,0.1,0.7,0.1,5.1,37,9.3,0.4,47.4,0,0.1
LOIYANGALANI,7646,0,0.9,-,4.2,15.1,5,0.3,74.4,0,-
MARSABIT CENTRAL,15658,0.2,1.9,0.2,6.7,64.7,7.1,0.3,18.9,0,0
MARSABIT NORTH,7468,0,0.4,-,8,23.4,4.4,0.3,63.5,0,-
MARSABIT SOUTH,11563,0,0.3,0,1.1,13,3.9,0.2,81.6,0,0
MOYALE,17591,0,0.3,0.1,6.9,50.2,19.2,0.5,22.7,0,0
NORTH HORR,9601,0,0.2,0,3.6,15,5.3,0.4,75,0,0.4
SOLOLO,7162,0,0.1,0,3.2,49.4,13.6,0.7,32.9,0.1,0
ISIOLO,53217,4,3.1,0.4,17.7,36.8,6.7,0.6,30.6,0.1,0
GARBATULLA,17047,0.7,0.9,0.1,21.7,28.6,9.2,0.9,37.9,0,0
ISIOLO,27612,7.2,5.3,0.7,17.1,42.3,5.4,0.6,21.3,0.1,0
MERTI,8558,0.1,0.3,-,12,35.3,6,0.4,45.8,0,-
MERU,423931,0.7,5.2,0.2,21.3,62.3,8.5,0.3,1.4,0.1,0
BUURI EAST,23737,0.3,3,0.1,27.6,61.9,6.5,0.2,0.4,0,0
BUURI WEST,27905,0.2,4.1,0.6,22.4,65.4,6.6,0.3,0.3,0.1,0
IGEMBE CENTRAL,51848,0.2,1,0.1,12,74,10.4,0.4,1.9,0,0
IGEMBE NORTH,38716,0.2,0.8,0.3,14.4,69.1,11.6,0.4,3.1,0.1,0
IGEMBE SOUTH,43222,0.9,4.6,0.1,18.5,62.6,10.1,0.5,2.5,0.1,0.1
IMENTI NORTH,57556,2.7,18.3,0.1,22.7,50.8,4.7,0.1,0.4,0.1,0
IMENTI SOUTH,63954,0.7,6.7,0.2,30.6,55.2,5.8,0.2,0.5,0,0
MERU CENTRAL,39498,0.3,3.6,0.1,28.2,60,7.3,0.1,0.3,0,0
TIGANIA CENTRAL,24983,0.3,1.6,0.1,17.8,65.3,13.6,0.3,1.1,0,0
TIGANIA EAST,16791,0.1,1.8,0.2,18.1,59.9,10.2,0.5,9.1,0,0.1
TIGANIA WEST,35402,0.3,1.5,0.1,17.6,68.7,10.7,0.5,0.5,0,0
MERU NATIONAL PARK,46,-,100,-,-,- ,-,-,-,-,-
MT. KENYA FOREST,273,0.4,3.7,-,4,56.8,30.8,0.7,3.7,-,-
THARAKA-NITHI,109450,0.6,3.8,0.1,15.6,66.5,12,0.2,1.1,0.1,0
IGAMBANG'OMBE,14383,0.1,0.5,0,9.3,71.4,16.4,0.1,2.2,0,0
MAARA,34779,0.5,3.8,0.2,14.3,70.2,10.4,0.1,0.4,0.1,0
