"County/ Sub-County","Conventional Households","Type of Cooking Fuel (%) - Electricity","Type of Cooking Fuel (%) - Paraffin","Type of Cooking Fuel (%) - Gas(LPG) ","Type of Cooking Fuel (%) - Biogas","Type of Cooking Fuel (%) - Firewood","Type of Cooking Fuel (%) - Charcoal","Type of Cooking Fuel (%) - Solar","Type of Cooking Fuel (%) - Not Stated"
"LAIKIPIA CENTRAL",29877,0.3,3,25,0.4,57.2,14,0,0
"LAIKIPIA EAST",31311,0.8,4.6,38.2,0.4,38.2,17.7,0.2,0
"LAIKIPIA NORTH",7694,0.2,0.4,4.2,0.4,85.8,8.8,0.1,0
"LAIKIPIA WEST",32821,0.1,1,7.6,0.3,73.6,17.4,0.1,0
"NYAHURURU",44073,0.4,1.4,19.7,0.3,56,22,0.1,0
"NAKURU",598237,0.6,5.4,30,0.4,39.6,23.9,0.1,0
"GILGIL",49405,0.5,4.2,31.3,0.3,44.2,19.4,0,0
"KURESOI NORTH",40168,0.3,0.6,2.6,0.2,83.6,12.5,0.2,0
"KURESOI SOUTH",34543,0.1,0.1,2.3,0.2,88.4,8.8,0.1,0
"MOLO",41439,0.4,1,11.3,0.2,58.4,28.6,0.1,0
"NAIVASHA",111493,0.9,9.3,45.7,0.4,20.5,23.2,0.1,0
"NAKURU EAST",60066,0.9,8.9,61.1,0.5,3.6,25,0,0
"NAKURU NORTH",61582,0.6,3.3,34.8,0.9,31.2,29.2,0,0
"NAKURU WEST",64429,1,14.1,43.3,0.6,7.7,33.2,0,0
"NJORO",61156,0.3,1.5,12.4,0.3,56.4,29,0.1,0
"RONGAI",52248,0.6,2.7,21.1,0.5,52.1,22.8,0.1,0
"SUBUKIA",21708,0.3,1.3,8.1,0.3,74.2,15.7,0.1,0
"NAROK",238115,0.5,1,8.2,0.5,71.7,17.7,0.4,0
"NAROK EAST",24860,0.7,1.7,9,0.3,60.1,27.8,0.4,0
"NAROK NORTH",59802,0.8,1.7,19.4,0.8,42.5,34.4,0.5,0
"NAROK SOUTH",46549,0.3,0.2,2.9,0.4,85.9,10,0.4,0
"NAROK WEST",37782,0.2,0.7,5.1,0.6,85.6,7.3,0.5,0
"TRANS MARA EAST",20439,0.1,0.2,0.8,0.2,96.6,1.6,0.4,0
"TRANS MARA WEST",48683,0.5,1.2,4.4,0.3,78.8,14.2,0.4,0
"MAU FOREST","-","-","-","- ","-","-","-","-","-"
"KAJIADO",313218,1.2,12.7,47.2,0.7,29,9.1,0.2,0
"ISINYA",71395,2.6,19.4,64.3,0.7,6.3,6.5,0.1,0.1
"KAJIADO CENTRAL",37059,0.6,6.2,24,0.4,51.6,16.5,0.7,0
"KAJIADO NORTH",100908,0.9,16.6,72.6,0.7,4.5,4.7,0,0
"KAJIADO WEST",42367,0.6,6.6,27.2,0.7,57.3,7.1,0.5,0
"LOITOKITOK",45581,0.8,5.1,11.7,0.6,66.1,15.5,0.3,0
"MASHUURU",15908,0.9,11,17.8,0.7,50.7,18.8,0.1,0
"KERICHO",205932,0.7,1.4,9.5,0.3,79,8.9,0.1,0
"BELGUT",34978,0.8,1,8.3,0.3,84.7,4.9,0,0
"BURETI",43098,0.7,1.5,9.1,0.4,83.4,4.8,0.2,0
"KERICHO EAST",44246,0.7,3.1,22.1,0.6,54.4,19,0,0.1
"KIPKELION",24676,0.1,0.4,1.5,0.2,93.5,4.1,0.1,0
"LONDIANI",31739,0.3,0.4,4.5,0.2,83.4,11.2,0.1,0
"SOIN SIGOWET",27195,1.2,1.4,4.3,0.3,86.5,6,0.3,0
"BOMET",187230,0.3,0.8,5.9,0.2,88.4,4.1,0.2,0
"BOMET EAST",29897,0.2,0.3,3.6,0.2,91.1,4.4,0.1,0
"CHEPALUNGU",33850,0.2,0.3,1.5,0.1,95.7,1.8,0.3,0
"KONOIN",38123,0.6,0.8,5.5,0.4,89,3.4,0.3,0
"SOTIK",47265,0.3,0.9,6.4,0.2,88,4.1,0.2,0
"BOMET CENTRAL",38095,0.4,1.4,11.4,0.3,79.9,6.6,0.1,0
"KAKAMEGA",432284,0.5,2.4,7.4,0.3,80.8,8.2,0.3,0
"BUTERE",36243,0.3,1.2,4,0.2,88,6.1,0.2,0
"KAKAMEGA CENTRAL",51956,0.9,6.7,28.9,0.6,44.3,18.6,0.1,0
"KAKAMEGA EAST",39589,0.9,2.4,5.4,0.2,85.5,5.1,0.3,0.1
"KAKAMEGA NORTH",50952,0.4,2.1,4.1,0.2,87,6,0.2,0
"KAKAMEGA SOUTH",26940,0.2,1.6,4.4,0.2,90.7,2.6,0.2,0
"KHWISERO",27681,0.3,1.4,3.6,0.2,88.7,5.2,0.5,0
"LIKUYANI",34776,0.7,3,6.3,0.5,79.8,9.3,0.3,0
"LUGARI",27817,0.6,1.9,4,0.3,86.6,6.3,0.3,0
"MATETE",13956,0.3,2.4,3.5,0.3,87.3,5.3,0.9,"-"
"MATUNGU",36414,0.4,1.2,2.4,0.2,88.6,6.9,0.3,0
"MUMIAS EAST",25995,0.3,1.7,4.3,0.3,86.5,6.4,0.5,0
"MUMIAS WEST",27650,0.7,1.8,9,0.3,67.5,20.6,0.1,0
